Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month Number,Enrollment Month,Cancellation Year,Cancellation Month Number
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Married,Star,"$3,920.51",Standard,2015,2,February,,
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,"$77,601.00",Married,Star,"$3,921.02",Standard,2015,8,August,,
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,"$77,601.00",Married,Star,"$3,921.02",Standard,2014,10,October,,
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,"$73,236.00",Single,Star,"$3,924.42",Standard,2016,11,November,2017,7
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,"$50,879.00",Single,Star,"$3,933.81",Standard,2014,3,March,,
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,"$62,160.00",Married,Star,"$3,934.10",Standard,2012,11,November,,
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,"$93,541.00",Married,Star,"$3,934.71",Standard,2017,3,March,,
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,"$163,974.00",Married,Star,"$3,936.79",Standard,2013,12,December,,
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,"$75,827.00",Married,Star,"$3,939.01",Standard,2014,9,September,,
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,"$75,827.00",Married,Star,"$3,939.01",Standard,2013,11,November,,
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,"$75,827.00",Married,Star,"$3,939.01",Standard,2012,12,December,,
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,"$75,827.00",Married,Star,"$3,939.01",Standard,2018,6,June,,
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,"$152,955.00",Married,Star,"$3,954.34",Standard,2013,6,June,,
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,"$152,955.00",Married,Star,"$3,954.34",Standard,2015,9,September,,
461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,"$152,955.00",Married,Star,"$3,954.34",Standard,2018,10,October,,
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,"$152,955.00",Married,Star,"$3,954.34",Standard,2015,8,August,,
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,"$152,955.00",Married,Star,"$3,954.34",Standard,2016,5,May,,
386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,"$30,486.00",Divorced,Aurora,"$5,391.97",2018 Promotion,2018,3,March,2018,11
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,"$3,958.00",Standard,2012,9,September,,
329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,"$3,961.59",Standard,2012,8,August,,
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,"$96,814.00",Married,Star,"$3,963.39",Standard,2013,7,July,,
112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,"$49,846.00",Married,Aurora,"$5,636.74",2018 Promotion,2018,2,February,,
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,"$217,538.00",Divorced,Star,"$3,964.15",Standard,2012,5,May,,
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,"$48,744.00",Married,Star,"$3,964.53",Standard,2016,2,February,,
357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,"$76,410.00",Single,Star,"$3,964.73",Standard,2018,9,September,,
330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,"$105,053.00",Married,Aurora,"$6,172.91",2018 Promotion,2018,2,February,,
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,"$84,914.00",Married,Star,"$3,966.13",Standard,2012,11,November,,
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,,Divorced,Star,"$3,974.86",Standard,2013,5,May,,
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Divorced,Star,"$3,974.86",Standard,2017,10,October,,
265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,"$60,519.00",Married,Star,"$3,978.67",Standard,2018,7,July,,
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,"$102,457.00",Married,Star,"$3,979.72",Standard,2017,5,May,,
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,"$103,862.00",Married,Star,"$3,980.42",Standard,2013,3,March,,
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,"$93,153.00",Married,Star,"$3,985.32",Standard,2013,1,January,,
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,"$93,153.00",Married,Star,"$3,985.32",Standard,2013,4,April,,
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,"$86,793.00",Divorced,Star,"$3,985.55",Standard,2016,6,June,,
283314,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,"$72,127.00",Married,Star,"$3,991.73",Standard,2013,4,April,2015,2
322102,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,"$3,992.58",Standard,2013,8,August,2014,4
789157,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Star,"$3,995.36",Standard,2018,9,September,,
654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,"$65,721.00",Married,Star,"$3,996.77",Standard,2017,4,April,2017,12
984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,,Single,Star,"$3,997.48",Standard,2018,8,August,,
114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,"$101,354.00",Divorced,Star,"$4,001.52",Standard,2017,7,July,,
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,"$53,118.00",Married,Star,"$4,005.72",Standard,2015,3,March,,
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,"$115,440.00",Married,Star,"$4,013.85",Standard,2013,4,April,,
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,"$73,313.00",Married,Star,"$4,013.95",Standard,2013,3,March,,
223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,"$100,167.00",Married,Star,"$4,013.96",Standard,2017,8,August,,
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,"$59,262.00",Married,Star,"$4,014.45",Standard,2015,12,December,,
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,"$59,262.00",Married,Star,"$4,014.45",Standard,2014,5,May,,
566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,,Married,Star,"$4,015.21",Standard,2015,6,June,2016,7
472521,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Aurora,"$6,265.34",2018 Promotion,2018,3,March,,
425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,"$39,079.00",Married,Star,"$4,016.13",Standard,2016,11,November,,
174896,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Star,"$4,016.54",Standard,2015,4,April,2015,12
695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Divorced,Star,"$4,019.38",Standard,2013,4,April,,
699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Divorced,Star,"$4,019.38",Standard,2014,7,July,,
377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,"$62,518.00",Married,Star,"$4,023.81",Standard,2016,5,May,,
511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,"$62,518.00",Married,Star,"$4,023.81",Standard,2015,3,March,,
890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,,Married,Star,"$4,025.10",Standard,2017,9,September,,
796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,"$47,536.00",Married,Star,"$4,035.68",Standard,2014,2,February,,
556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,,Married,Star,"$4,035.77",Standard,2017,1,January,,
513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,"$98,320.00",Married,Star,"$4,037.50",Standard,2015,11,November,,
930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,"$63,577.00",Married,Star,"$4,037.55",Standard,2015,7,July,,
235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,"$89,057.00",Single,Star,"$4,046.94",Standard,2013,3,March,,
881142,Canada,British Columbia,Vancouver,V1E 4R6,Female,Doctor,"$89,057.00",Single,Star,"$4,046.94",Standard,2016,9,September,2017,5
295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,"$99,814.00",Married,Star,"$4,048.16",Standard,2017,5,May,,
306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,"$64,587.00",Married,Star,"$4,053.37",Standard,2013,5,May,,
295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,"$67,411.00",Divorced,Star,"$4,059.57",Standard,2016,6,June,,
967300,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,"$62,630.00",Single,Aurora,"$6,364.90",2018 Promotion,2018,3,March,2018,11
591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,"$51,370.00",Married,Star,"$4,064.18",Standard,2013,9,September,,
326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Married,Star,"$4,068.09",Standard,2017,2,February,,
375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,"$59,300.00",Single,Star,"$4,070.05",Standard,2014,7,July,,
485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,"$102,479.00",Single,Star,"$4,072.85",Standard,2017,9,September,,
920716,Canada,Alberta,Peace River,T9O 2W2,Female,College,,Single,Aurora,"$7,098.91",2018 Promotion,2018,4,April,,
797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Married,Star,"$4,079.13",Standard,2017,6,June,,
216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,"$90,995.00",Married,Star,"$4,083.56",Standard,2014,7,July,,
958839,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,"$90,995.00",Married,Star,"$4,083.56",Standard,2018,8,August,,
539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,"$49,558.00",Married,Star,"$4,087.51",Standard,2015,2,February,2018,6
746226,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,"$63,501.00",Married,Star,"$4,089.04",Standard,2018,1,January,,
484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,"$76,367.00",Single,Star,"$4,089.46",Standard,2012,6,June,,
528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,"$60,360.00",Married,Star,"$4,090.75",Standard,2015,6,June,2018,11
995091,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,"$55,454.00",Married,Star,"$4,095.20",Standard,2017,9,September,,
632793,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,"$60,370.00",Single,Star,"$4,097.37",Standard,2016,6,June,,
912220,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,"$60,370.00",Single,Star,"$4,097.37",Standard,2013,8,August,2014,4
382197,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,"$69,367.00",Married,Star,"$4,100.47",Standard,2017,10,October,2018,6
705196,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,"$4,101.94",Standard,2013,11,November,,
123094,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,"$92,223.00",Married,Star,"$4,103.85",Standard,2018,1,January,,
366540,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,"$90,077.00",Married,Aurora,"$7,288.88",2018 Promotion,2018,3,March,,
119488,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,,Single,Star,"$4,108.26",Standard,2017,6,June,,
287750,Canada,Ontario,Ottawa,K1F 2R2,Female,College,,Single,Star,"$4,109.31",Standard,2012,8,August,,
735846,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,"$95,318.00",Married,Star,"$4,109.79",Standard,2012,8,August,,
606026,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,"$55,207.00",Single,Star,"$4,110.62",Standard,2015,7,July,,
460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,"$55,476.00",Divorced,Star,"$4,111.20",Standard,2015,9,September,,
743001,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,"$79,533.00",Married,Star,"$4,111.89",Standard,2017,5,May,,
869799,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,"$79,533.00",Married,Star,"$4,111.89",Standard,2015,3,March,,
520321,Canada,Ontario,London,M5B 3E4,Female,Doctor,"$237,245.00",Married,Star,"$4,112.84",Standard,2015,9,September,2016,5
279419,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Single,Star,"$4,117.37",Standard,2013,7,July,,
170585,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,"$82,675.00",Single,Star,"$4,118.59",Standard,2013,8,August,,
188340,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,"$82,675.00",Single,Star,"$4,118.59",Standard,2017,4,April,,
670817,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,"$82,675.00",Single,Star,"$4,118.59",Standard,2016,12,December,,
509513,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,"$4,121.25",Standard,2012,12,December,,
779247,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,"$86,987.00",Married,Star,"$4,122.57",Standard,2012,9,September,,
111255,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,"$70,272.00",Married,Star,"$4,122.96",Standard,2013,3,March,,
763061,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,"$56,845.00",Married,Star,"$4,126.61",Standard,2014,4,April,,
766335,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,"$67,756.00",Married,Aurora,"$7,482.49",2018 Promotion,2018,2,February,,
428919,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,"$58,209.00",Divorced,Star,"$4,139.90",Standard,2015,7,July,,
139863,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,"$67,223.00",Married,Star,"$4,142.56",Standard,2015,10,October,,
695755,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,"$79,088.00",Married,Star,"$4,144.87",Standard,2012,4,April,,
355331,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Divorced,Star,"$4,145.02",Standard,2013,7,July,,
578837,Canada,Ontario,Toronto,P5S 6R4,Male,College,,Single,Star,"$4,152.65",Standard,2012,5,May,,
603248,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Married,Star,"$4,157.70",Standard,2016,2,February,2016,10
467182,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,"$102,347.00",Married,Star,"$4,160.02",Standard,2013,12,December,2018,10
601407,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,"$72,809.00",Married,Star,"$4,165.17",Standard,2015,9,September,,
700871,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,"$74,567.00",Married,Star,"$4,165.25",Standard,2015,12,December,,
203809,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,"$54,160.00",Married,Star,"$4,165.35",Standard,2012,7,July,,
705589,Canada,Ontario,Toronto,P1L 8X8,Female,College,,Single,Star,"$4,165.99",Standard,2012,5,May,,
354438,Canada,Quebec,Montreal,H2T 2J6,Male,College,,Married,Star,"$4,167.09",Standard,2018,9,September,,
746060,Canada,British Columbia,Victoria,V10 6T5,Male,College,,Married,Star,"$4,167.09",Standard,2014,4,April,,
469718,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,"$73,544.00",Married,Star,"$4,167.42",Standard,2013,1,January,,
164429,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,"$57,852.00",Single,Star,"$4,169.36",Standard,2012,9,September,,
708373,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,"$57,852.00",Single,Star,"$4,169.36",Standard,2017,3,March,,
225088,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,"$97,991.00",Married,Star,"$4,170.34",Standard,2015,9,September,,
100214,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,"$63,253.00",Married,Star,"$4,170.57",Standard,2015,8,August,,
459999,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,"$53,465.00",Single,Star,"$4,170.69",Standard,2017,9,September,,
553936,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,"$53,465.00",Single,Star,"$4,170.69",Standard,2014,12,December,2015,8
268128,Canada,Ontario,Toronto,P1W 1K4,Female,High School or Below,"$47,663.00",Married,Star,"$4,177.88",Standard,2013,1,January,,
930584,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,"$4,185.76",Standard,2015,7,July,,
327796,Canada,Quebec,Quebec City,G1B 3L5,Male,College,,Single,Star,"$4,191.06",Standard,2017,6,June,,
947467,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,"$49,937.00",Married,Star,"$4,196.43",Standard,2015,2,February,,
743510,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,"$4,196.65",Standard,2016,5,May,,
580324,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,"$61,113.00",Married,Star,"$4,198.03",Standard,2013,6,June,,
845613,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,"$54,297.00",Married,Star,"$4,198.03",Standard,2018,10,October,,
645919,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,"$66,297.00",Divorced,Aurora,"$7,484.31",2018 Promotion,2018,3,March,,
423324,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,"$69,599.00",Divorced,Star,"$4,200.37",Standard,2017,12,December,,
101945,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,"$86,098.00",Married,Star,"$4,202.66",Standard,2013,11,November,,
713636,Canada,Ontario,London,M5B 3E4,Male,Doctor,"$48,109.00",Married,Star,"$4,212.80",Standard,2014,8,August,,
302509,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Doctor,"$74,238.00",Married,Star,"$4,213.92",Standard,2017,3,March,,
789421,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,,Single,Star,"$4,217.86",Standard,2016,11,November,,
914255,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Star,"$4,217.86",Standard,2015,11,November,2016,7
675879,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,"$78,617.00",Married,Aurora,"$8,000.55",2018 Promotion,2018,2,February,,
404426,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,"$99,696.00",Married,Star,"$4,223.27",Standard,2014,9,September,,
260106,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,"$88,876.00",Single,Star,"$4,228.25",Standard,2013,6,June,2017,4
827194,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,"$71,450.00",Married,Aurora,"$8,255.76",2018 Promotion,2018,3,March,,
438023,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,College,,Married,Star,"$4,228.73",Standard,2013,1,January,,
397518,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,"$76,056.00",Married,Star,"$4,235.18",Standard,2018,1,January,2018,9
645742,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,"$76,056.00",Married,Star,"$4,235.18",Standard,2014,8,August,2015,8
872932,Canada,Quebec,Montreal,H2Y 2W2,Male,High School or Below,"$72,685.00",Married,Star,"$4,236.30",Standard,2015,3,March,,
407945,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,"$75,108.00",Married,Star,"$4,236.47",Standard,2012,12,December,,
211714,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Doctor,"$103,572.00",Married,Star,"$4,236.84",Standard,2015,6,June,,
410982,Canada,Ontario,Trenton,K8V 4B2,Male,Master,"$132,353.00",Married,Star,"$4,237.37",Standard,2017,2,February,,
905213,Canada,British Columbia,Vancouver,V6E 3D9,Female,Master,"$132,353.00",Married,Star,"$4,237.37",Standard,2015,10,October,,
147898,Canada,Quebec,Tremblant,H5Y 2S9,Female,High School or Below,"$59,849.00",Divorced,Star,"$4,241.64",Standard,2012,8,August,,
530105,Canada,Ontario,London,M5B 3E4,Male,College,,Single,Star,"$4,242.69",Standard,2017,11,November,2018,7
610946,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,"$56,947.00",Married,Star,"$4,244.47",Standard,2016,12,December,,
383108,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,"$64,497.00",Married,Star,"$4,247.68",Standard,2012,6,June,,
836343,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,"$64,497.00",Married,Star,"$4,247.68",Standard,2017,4,April,,
110262,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,"$52,267.00",Married,Aurora,"$9,427.68",2018 Promotion,2018,2,February,,
